,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhD_116281,ndhD_116290,0.5551107156979168,,0.5551107156979168
1,ndhD_116494,ndhD_116785,0.20364173889671155,,0.20364173889671155
2,ndhD_116290,ndhD_116494,0.20357894016854783,,0.20357894016854783
3,ndhD_116281,ndhD_116494,0.25888620572784493,0.14587735454985895,0.14587735454985895
4,ndhD_116281,ndhD_116785,0.13767440546799548,0.08495436835720532,0.08495436835720532
5,ndhD_116281,ndhD_117166,0.08692029599503097,0.084550722379607,0.084550722379607
6,ndhD_116290,ndhD_117166,0.08570842849370279,0.08422100200254189,0.08422100200254189
7,ndhD_116494,ndhD_117166,0.08456628367935344,0.08106131781552131,0.08106131781552131
8,ndhD_116290,ndhD_116785,0.08642084656706617,0.04496367718839349,0.04496367718839349
9,ndhD_116785,ndhD_117166,0.017211431619182288,,0.017211431619182288
