,Cause (X),Outcome (Y),Total Effect (TE),Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhB_95608,ndhB_95644,0.5813493057991703,NA,NA,NA
1,ndhB_96698,ndhB_intron,0.41127783615814933,NA,NA,NA
2,ndhB_97016,ndhB_96579,0.405056892004673,NA,NA,NA
3,ndhB_96579,ndhB_96419,0.3200015369963929,NA,NA,NA
4,ndhB_95644,ndhB_95650,0.31611864198131356,NA,NA,NA
5,ndhB_95608,ndhB_95650,0.44768014970007025,"Refute: Use a subset of data
Estimated effect:0.44768014970007025
New effect:0.4461021215638845
p value:0.98
","Refute: Add a random common cause
Estimated effect:0.44768014970007025
New effect:0.44765895956971397
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.44768014970007025
New effect:0.004403528032757641
p value:0.7
"
6,ndhB_95608,ndhB_94999,0.22533540507575467,"Refute: Use a subset of data
Estimated effect:0.22533540507575467
New effect:0.2231092833870499
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.22533540507575467
New effect:0.22534235384498355
p value:0.98
","Refute: Use a Placebo Treatment
Estimated effect:0.22533540507575467
New effect:0.00036713026921305405
p value:0.8999999999999999
"
7,ndhB_94999,ndhB_95225,0.1527791512969796,NA,NA,NA
8,ndhB_95650,ndhB_94999,0.14895487700245114,NA,NA,NA
9,ndhB_95608,ndhB_intron,0.14295858185887841,"Refute: Use a subset of data
Estimated effect:0.14295858185887841
New effect:0.14327029768579597
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.14295858185887841
New effect:0.14304698139035668
p value:0.8600000000000001
","Refute: Use a Placebo Treatment
Estimated effect:0.14295858185887841
New effect:-0.00010439100268275187
p value:0.96
"
10,ndhB_94999,ndhB_96698,0.12592697094511818,NA,NA,NA
11,ndhB_95608,ndhB_95225,0.14532270729954133,"Refute: Use a subset of data
Estimated effect:0.14532270729954133
New effect:0.14433183588645954
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.14532270729954133
New effect:0.14521852224394946
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.14532270729954133
New effect:0.002023440116207106
p value:0.98
"
12,ndhB_95608,ndhB_96419,0.15871384892986806,"Refute: Use a subset of data
Estimated effect:0.15871384892986806
New effect:0.15589639737011354
p value:0.9
","Refute: Add a random common cause
Estimated effect:0.15871384892986806
New effect:0.15870997119949254
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.15871384892986806
New effect:0.0008413704974629043
p value:0.8799999999999999
"
