,Cause (X),Outcome (Y),Total Effect (TE),Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhB_96579,ndhB_96698,0.5996480167095457,NA,NA,NA
1,ndhB_95644,ndhB_95650,0.41252493438322135,NA,NA,NA
2,ndhB_96698,ndhB_97016,0.2435747976847259,NA,NA,NA
3,ndhB_96579,ndhB_97016,0.2620486587889507,"Refute: Use a subset of data
Estimated effect:0.2620486587889507
New effect:0.2642015662101224
p value:0.9199999999999999
","Refute: Add a random common cause
Estimated effect:0.2620486587889507
New effect:0.262029674051601
p value:0.86
","Refute: Use a Placebo Treatment
Estimated effect:0.2620486587889507
New effect:0.0008968422680157884
p value:0.8600000000000001
"
4,ndhB_97016,ndhB_94622,0.06297918948521185,NA,NA,NA
5,ndhB_96579,ndhB_94622,0.06449803701626534,"Refute: Use a subset of data
Estimated effect:0.06449803701626534
New effect:0.06435734343736227
p value:0.98
","Refute: Add a random common cause
Estimated effect:0.06449803701626534
New effect:0.06446969839452012
p value:0.98
","Refute: Use a Placebo Treatment
Estimated effect:0.06449803701626534
New effect:0.0014441767876157805
p value:0.9199999999999999
"
6,ndhB_96698,ndhB_94622,0.028279226423153704,"Refute: Use a subset of data
Estimated effect:0.028279226423153704
New effect:0.029009239927564483
p value:0.96
","Refute: Add a random common cause
Estimated effect:0.028279226423153704
New effect:0.02833682461114235
p value:0.9199999999999999
","Refute: Use a Placebo Treatment
Estimated effect:0.028279226423153704
New effect:-0.0012692258254917265
p value:0.94
"
7,ndhB_97016,ndhB_96457,0.007659529775390236,NA,NA,NA
8,ndhB_96579,ndhB_96457,0.004071015529812292,"Refute: Use a subset of data
Estimated effect:0.004071015529812292
New effect:0.0038940692720278473
p value:0.7
","Refute: Add a random common cause
Estimated effect:0.004071015529812292
New effect:0.004089245583150939
p value:0.94
","Refute: Use a Placebo Treatment
Estimated effect:0.004071015529812292
New effect:0.00142444297703742
p value:0.8200000000000001
"
9,ndhB_97016,ndhB_96439,0.0012170849524058627,NA,NA,NA
