,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_95608,ndhB_95644,0.5813493057991703,,0.5813493057991703
1,ndhB_96698,ndhB_intron,0.41127783615814933,,0.41127783615814933
2,ndhB_97016,ndhB_96579,0.405056892004673,,0.405056892004673
3,ndhB_96579,ndhB_96419,0.3200015369963929,,0.3200015369963929
4,ndhB_95644,ndhB_95650,0.31611864198131356,,0.31611864198131356
5,ndhB_95608,ndhB_95650,0.44768014970007025,0.26390479663405714,0.26390479663405714
6,ndhB_95608,ndhB_94999,0.22533540507575467,0.1586512634407418,0.1586512634407418
7,ndhB_94999,ndhB_95225,0.1527791512969796,,0.1527791512969796
8,ndhB_95650,ndhB_94999,0.14895487700245114,,0.14895487700245114
9,ndhB_95608,ndhB_intron,0.14295858185887841,0.13457311168925934,0.13457311168925934
10,ndhB_94999,ndhB_96698,0.12592697094511818,,0.12592697094511818
11,ndhB_95608,ndhB_95225,0.14532270729954133,0.1233108056895339,0.1233108056895339
12,ndhB_95608,ndhB_96419,0.15871384892986806,0.12022692668184717,0.12022692668184717
13,ndhB_95608,ndhB_96698,0.1567423520959584,0.11551506287137553,0.11551506287137553
14,ndhB_95644,ndhB_96419,0.1295888712639418,0.10241225062700751,0.10241225062700751
15,ndhB_95650,ndhB_96419,0.08596968678152417,0.08816019813335065,0.08816019813335065
16,ndhB_94999,ndhB_intron,0.06327507688960257,0.08098477166544357,0.08098477166544357
17,ndhB_95650,ndhB_96698,0.09209094763795914,0.07333351116953782,0.07333351116953782
18,ndhB_95608,ndhB_96579,0.07397290027232939,0.06831972630568962,0.06831972630568962
19,ndhB_96579,ndhB_94622,0.06449803701626534,,0.06449803701626534
20,ndhB_95644,ndhB_96698,0.09012159244292045,0.06100992713683655,0.06100992713683655
21,ndhB_97016,ndhB_96419,0.18973090887373845,0.06011208086126116,0.06011208086126116
22,ndhB_intron,ndhB_96457,0.04933381570143161,,0.04933381570143161
23,ndhB_95608,ndhB_94622,0.041769000718424126,0.048667560090102695,0.048667560090102695
24,ndhB_intron,ndhB_94622,0.03526190135587614,0.0338913277519786,0.0338913277519786
25,ndhB_95644,ndhB_96579,0.03780342823495264,0.033811574500951805,0.033811574500951805
26,ndhB_97016,ndhB_94622,0.05833168598824751,0.03220631157403672,0.03220631157403672
27,ndhB_intron,ndhB_97016,0.02743143283309346,,0.02743143283309346
28,ndhB_95644,ndhB_94622,0.021588788231762163,0.0264600411154639,0.0264600411154639
29,ndhB_95650,ndhB_95225,0.04916881310184207,0.026411613411861597,0.026411613411861597
30,ndhB_intron,ndhB_96439,0.02422556363285929,0.025639044864699596,0.025639044864699596
31,ndhB_95650,ndhB_intron,0.018730940327010337,0.02443043967055205,0.02443043967055205
32,ndhB_96698,ndhB_96457,0.04456113158554674,0.024195831157371585,0.024195831157371585
33,ndhB_95644,ndhB_96457,0.021240201119715852,0.019385481387656743,0.019385481387656743
34,ndhB_95644,ndhB_94999,0.06112690519808872,0.014039491763580277,0.014039491763580277
35,ndhB_95608,ndhB_97016,0.0148697642557587,0.013711090042574703,0.013711090042574703
36,ndhB_95650,ndhB_96579,0.012627707461291715,0.012386168366655407,0.012386168366655407
37,ndhB_95225,ndhB_96439,0.007007912226750545,0.01036453514748589,0.01036453514748589
38,ndhB_intron,ndhB_96579,0.021249849876080695,0.010138558949472916,0.010138558949472916
39,ndhB_95225,ndhB_96579,0.005015694796843717,0.007971965495725219,0.007971965495725219
40,ndhB_96698,ndhB_96439,0.016778735687642234,0.006630125873553206,0.006630125873553206
41,ndhB_94999,ndhB_96439,0.0071948756695908115,0.006157353505535111,0.006157353505535111
42,ndhB_95650,ndhB_96457,0.005867163418248344,0.006120378814683817,0.006120378814683817
43,ndhB_95608,ndhB_96457,0.007860925935207408,0.005234313337811213,0.005234313337811213
44,ndhB_95650,ndhB_97016,0.0025881741997277885,0.0032471236964174525,0.0032471236964174525
45,ndhB_95650,ndhB_96439,0.0022693911840070413,0.0019354861129262989,0.0019354861129262989
46,ndhB_95644,ndhB_95225,0.006470447823601733,-0.0090727306019856,-0.0090727306019856
