,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_96579,ndhB_96698,0.5996480167095457,,0.5996480167095457
1,ndhB_95644,ndhB_95650,0.41252493438322135,,0.41252493438322135
2,ndhB_96698,ndhB_97016,0.2435747976847259,,0.2435747976847259
3,ndhB_96579,ndhB_97016,0.2620486587889507,0.11598951443687594,0.11598951443687594
4,ndhB_97016,ndhB_94622,0.06297918948521185,,0.06297918948521185
5,ndhB_96579,ndhB_94622,0.06449803701626534,0.047994424880050394,0.047994424880050394
6,ndhB_96698,ndhB_94622,0.028279226423153704,0.012939083085945212,0.012939083085945212
7,ndhB_97016,ndhB_96457,0.007659529775390236,,0.007659529775390236
8,ndhB_96579,ndhB_96457,0.004071015529812292,0.002063846025217248,0.002063846025217248
9,ndhB_97016,ndhB_96439,0.0012170849524058627,,0.0012170849524058627
