,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_97016,ndhB_96698,0.6592146918933333,,0.6592146918933333
1,ndhB_95650,ndhB_95608,0.42975486307480193,0.4258088763519064,0.4258088763519064
2,ndhB_96457,ndhB_95644,0.3822964470810603,,0.3822964470810603
3,ndhB_96698,ndhB_96579,0.36220191189678674,,0.36220191189678674
4,ndhB_96579,ndhB_96419,0.3350465120776742,0.3235015030309398,0.3235015030309398
5,ndhB_97016,ndhB_95644,0.20735658358467726,0.21014237972452093,0.21014237972452093
6,ndhB_95650,ndhB_94999,0.21905786807674466,0.20811991575078914,0.20811991575078914
7,ndhB_95650,ndhB_95644,0.2020194362510474,,0.2020194362510474
8,ndhB_96579,ndhB_95644,0.17790826095840004,0.18505327580672648,0.18505327580672648
9,ndhB_97016,ndhB_96419,0.1759741331452751,0.17147400547147182,0.17147400547147182
10,ndhB_97016,ndhB_96579,0.4066002490659889,0.1678314273117724,0.1678314273117724
11,ndhB_95608,ndhB_95225,0.1560942994145429,,0.1560942994145429
12,ndhB_95225,ndhB_94999,0.15125346047729082,,0.15125346047729082
13,ndhB_96698,ndhB_96419,0.1552908870492311,0.14710968909932692,0.14710968909932692
14,ndhB_96419,ndhB_95650,0.13499094270329626,,0.13499094270329626
15,ndhB_95608,ndhB_94999,0.15596450684341312,0.13235470389618514,0.13235470389618514
16,ndhB_96579,ndhB_95608,0.1284336098437162,0.12920384030243198,0.12920384030243198
17,ndhB_95650,ndhB_95225,0.11024618641260175,0.12819456312654828,0.12819456312654828
18,ndhB_96698,ndhB_95644,0.10903188518556067,0.11408007580237225,0.11408007580237225
19,ndhB_96439,ndhB_95644,0.11043863738099285,0.10903959500540918,0.10903959500540918
20,ndhB_96419,ndhB_95608,0.10444542748350827,0.10614907431025557,0.10614907431025557
21,ndhB_96579,ndhB_95650,0.09865202003597473,0.09938576660815542,0.09938576660815542
22,ndhB_96439,ndhB_94622,0.08774894974245843,0.08373935321373577,0.08373935321373577
23,ndhB_96579,ndhB_94622,0.06450105219321535,0.07017811923880006,0.07017811923880006
24,ndhB_96439,ndhB_95225,0.05799458290249859,0.06780648171913396,0.06780648171913396
25,ndhB_97016,ndhB_94622,0.06298270878161807,0.06519616134916983,0.06519616134916983
26,ndhB_96698,ndhB_95608,0.050834237013390515,0.05137843044853532,0.05137843044853532
27,ndhB_95644,ndhB_94999,0.05202117521319782,0.049055367783337626,0.049055367783337626
28,ndhB_96698,ndhB_94622,0.03646020162111671,0.0404712382947835,0.0404712382947835
29,ndhB_97016,ndhB_95608,0.04005047643375137,0.040350784422500056,0.040350784422500056
30,ndhB_96439,ndhB_94999,0.04360272377804586,0.03762323698690536,0.03762323698690536
31,ndhB_96439,ndhB_95650,0.011343100084534319,0.03543575091089608,0.03543575091089608
32,ndhB_95644,ndhB_94622,0.035991856497363736,0.03535580272233654,0.03535580272233654
33,ndhB_95608,ndhB_94622,0.03344850119034326,,0.03344850119034326
34,ndhB_96419,ndhB_94999,0.028252565730546575,0.03297493533790133,0.03297493533790133
35,ndhB_96698,ndhB_95650,0.030455046768863125,0.03097500530053459,0.03097500530053459
36,ndhB_96579,ndhB_95225,0.02602753023057025,0.02977958807723983,0.02977958807723983
37,ndhB_96457,ndhB_95608,0.03715489393034521,0.0261821509957871,0.0261821509957871
38,ndhB_97016,ndhB_95650,0.023623760296474727,0.023909767283707237,0.023909767283707237
39,ndhB_96419,ndhB_94622,0.020626939941853162,0.023793565681883188,0.023793565681883188
40,ndhB_95644,ndhB_95608,0.01901591259374058,,0.01901591259374058
41,ndhB_96579,ndhB_94999,0.009148067973979379,0.011969020099156829,0.011969020099156829
42,ndhB_96698,ndhB_95225,0.007433301966611849,0.010084255619945155,0.010084255619945155
43,ndhB_96439,ndhB_95608,0.011905252002356592,0.009748086311336042,0.009748086311336042
44,ndhB_95650,ndhB_94622,0.011451588641282102,0.004117050208574875,0.004117050208574875
