,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_96579,ndhB_96698,0.5996480167095457,,0.5996480167095457
1,ndhB_95644,ndhB_95650,0.4125249343832218,,0.4125249343832218
2,ndhB_96698,ndhB_97016,0.24357479768472667,,0.24357479768472667
3,ndhB_96579,ndhB_97016,0.26204865878895056,0.11598951443687536,0.11598951443687536
4,ndhB_97016,ndhB_94622,0.06297918948521182,,0.06297918948521182
5,ndhB_96579,ndhB_94622,0.06449803701626534,0.04754045497754107,0.04754045497754107
6,ndhB_96698,ndhB_94622,0.028279226423153656,0.012939083085945121,0.012939083085945121
7,ndhB_96579,ndhB_96457,0.004071015529812299,0.011984146934882882,0.011984146934882882
8,ndhB_97016,ndhB_96457,0.007659529775390224,,0.007659529775390224
9,ndhB_97016,ndhB_96439,0.0012170849524058662,,0.0012170849524058662
