,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_95608,ndhB_95644,0.5813493057991708,,0.5813493057991708
1,ndhB_95644,ndhB_95650,0.31611864198131323,,0.31611864198131323
2,ndhB_96579,ndhB_97016,0.26431376414110486,,0.26431376414110486
3,ndhB_95608,ndhB_95650,0.44768014970007025,0.2639047966340572,0.2639047966340572
4,ndhB_95608,ndhB_94999,0.2253354050757549,0.18979932117319448,0.18979932117319448
5,ndhB_95644,ndhB_96419,0.16004724409449522,,0.16004724409449522
6,ndhB_94999,ndhB_95225,0.15277915129697905,,0.15277915129697905
7,ndhB_95650,ndhB_94999,0.14895487700245214,,0.14895487700245214
8,ndhB_96419,ndhB_96579,0.14329760043673856,,0.14329760043673856
9,ndhB_95608,ndhB_95225,0.14532270729954078,0.14156111694908055,0.14156111694908055
10,ndhB_94999,ndhB_96698,0.12592697094511782,,0.12592697094511782
11,ndhB_95608,ndhB_96698,0.1567423520959584,0.10435022689175084,0.10435022689175084
12,ndhB_95650,ndhB_96698,0.09209094763795919,0.0733335111695378,0.0733335111695378
13,ndhB_95608,ndhB_96419,0.15871384892986895,0.06567049468046372,0.06567049468046372
14,ndhB_96579,ndhB_94622,0.06449803701626534,,0.06449803701626534
15,ndhB_95644,ndhB_96698,0.0901215924429204,0.061009927136836506,0.061009927136836506
16,ndhB_95608,ndhB_96579,0.07397290027232917,0.051229586564599916,0.051229586564599916
17,ndhB_96698,ndhB_96457,0.046463161912160156,,0.046463161912160156
18,ndhB_95608,ndhB_94622,0.04176900071842411,0.037188633803477304,0.037188633803477304
19,ndhB_95644,ndhB_96579,0.056797900262470224,0.033863514227216084,0.033863514227216084
20,ndhB_95644,ndhB_94622,0.03226246719160245,0.02764361945637573,0.02764361945637573
21,ndhB_95650,ndhB_95225,0.04916881310184196,0.026411613411861417,0.026411613411861417
22,ndhB_96419,ndhB_94622,0.028859276905134713,0.019616862967823948,0.019616862967823948
23,ndhB_95644,ndhB_96457,0.02124020111971584,0.017052866978258724,0.017052866978258724
24,ndhB_95650,ndhB_97016,0.01647649232141868,0.01666546178696476,0.01666546178696476
25,ndhB_95608,ndhB_97016,0.0148697642557587,0.01513241120376818,0.01513241120376818
26,ndhB_95644,ndhB_94999,0.06112690519808839,0.014039491763579673,0.014039491763579673
27,ndhB_96419,ndhB_97016,0.05006093893869801,0.012351366181371982,0.012351366181371982
28,ndhB_95650,ndhB_96457,0.00586716341824833,0.0015883268075015692,0.0015883268075015692
29,ndhB_95608,ndhB_96457,0.007860925935207408,0.0005781806512800761,0.0005781806512800761
30,ndhB_95644,ndhB_95225,0.0064704478236010665,-0.009072730601986214,-0.009072730601986214
