,Cause (X),Outcome (Y),Total Effect (TE),Direct Effect (NDE),Actual Effect
0,ndhB_95650,ndhB_95644,0.6257397993032475,,0.6257397993032475
1,ndhB_97016,ndhB_96579,0.4065953500857492,,0.4065953500857492
2,ndhB_intron,ndhB_96698,0.35735746248212463,,0.35735746248212463
3,ndhB_96579,ndhB_96419,0.3425067437962156,0.3325388625151394,0.3325388625151394
4,ndhB_95650,ndhB_95608,0.4287132139223595,0.28513534569540616,0.28513534569540616
5,ndhB_95644,ndhB_95608,0.24388583346275772,,0.24388583346275772
6,ndhB_95650,ndhB_94999,0.21711483146047483,0.18640624008382736,0.18640624008382736
7,ndhB_95608,ndhB_95225,0.14298789506691534,,0.14298789506691534
8,ndhB_95225,ndhB_94999,0.13642828816933006,,0.13642828816933006
9,ndhB_96419,ndhB_95650,0.13499094270329626,,0.13499094270329626
10,ndhB_95608,ndhB_94999,0.1481697853847036,0.12866219163178855,0.12866219163178855
11,ndhB_96419,ndhB_95644,0.19067093739941376,0.10603252760930243,0.10603252760930243
12,ndhB_95650,ndhB_95225,0.10877707848725904,0.10094170268946681,0.10094170268946681
13,ndhB_96698,ndhB_95225,0.1062733621551345,0.09867369100328253,0.09867369100328253
14,ndhB_96439,ndhB_94622,0.09015275735203956,0.09496803814351956,0.09496803814351956
15,ndhB_96579,ndhB_95644,0.1587729175733883,0.09343871776041877,0.09343871776041877
16,ndhB_96698,ndhB_95644,0.09150867201245572,,0.09150867201245572
17,ndhB_96579,ndhB_95608,0.12452406697999174,0.08500717570800209,0.08500717570800209
18,ndhB_96698,ndhB_94999,0.08588213827987545,0.07996224564709137,0.07996224564709137
19,ndhB_intron,ndhB_95608,0.0792591130296757,0.07633211161256809,0.07633211161256809
20,ndhB_96419,ndhB_95608,0.11532585879233892,0.07157584200400992,0.07157584200400992
21,ndhB_96439,ndhB_95225,0.07309869180045225,0.06602010153967813,0.06602010153967813
22,ndhB_intron,ndhB_94999,0.053855067969460046,0.053702577497392365,0.053702577497392365
23,ndhB_96579,ndhB_94622,0.06108744599562835,0.05149108527386278,0.05149108527386278
24,ndhB_96579,ndhB_95650,0.09570535797268709,0.04947004974539958,0.04947004974539958
25,ndhB_intron,ndhB_96457,0.05900885817783472,0.04933381570143183,0.04933381570143183
26,ndhB_96579,ndhB_95225,0.031989289771814367,0.0460961941218485,0.0460961941218485
27,ndhB_97016,ndhB_96419,0.17655461592797972,0.04421585863106106,0.04421585863106106
28,ndhB_intron,ndhB_95650,0.04240760865665172,0.04013049812761147,0.04013049812761147
29,ndhB_97016,ndhB_94622,0.06270787596255499,0.03655510186920552,0.03655510186920552
30,ndhB_95608,ndhB_94622,0.03289176991876117,,0.03289176991876117
31,ndhB_intron,ndhB_94622,0.03410646443346345,0.03267507819698476,0.03267507819698476
32,ndhB_96698,ndhB_95608,0.053272100012077495,0.032592340015847585,0.032592340015847585
33,ndhB_95644,ndhB_94622,0.03588194851247472,0.027860111791772387,0.027860111791772387
34,ndhB_96698,ndhB_96457,0.027073850393950667,,0.027073850393950667
35,ndhB_intron,ndhB_96439,0.02333787663211139,0.024893354143552114,0.024893354143552114
36,ndhB_96419,ndhB_94622,0.02800596165071164,0.02434266422136276,0.02434266422136276
37,ndhB_intron,ndhB_96579,0.02345923315722931,,0.02345923315722931
38,ndhB_intron,ndhB_95644,0.026515265916942643,0.022804254968991005,0.022804254968991005
39,ndhB_96439,ndhB_94999,0.008796892437490711,0.014444830285118396,0.014444830285118396
40,ndhB_96419,ndhB_94999,0.032848744988274614,0.014110170625744416,0.014110170625744416
41,ndhB_95644,ndhB_94999,0.04753121630697266,0.01139470470442628,0.01139470470442628
42,ndhB_96579,ndhB_94999,0.00731780438476104,-0.003937956445603522,-0.003937956445603522
43,ndhB_97016,ndhB_95608,0.039825830716057165,-0.009536069490416278,-0.009536069490416278
44,ndhB_95650,ndhB_94622,0.011873107156706607,-0.012062828122390346,-0.012062828122390346
45,ndhB_97016,ndhB_95650,0.02339784226273245,-0.01476481178497864,-0.01476481178497864
46,ndhB_95644,ndhB_95225,0.016595082424148533,-0.01827763953933146,-0.01827763953933146
